X,Y,objectid,globalid,CreationDate,Creator,EditDate,Editor,date_updated,under_19,_20_39,_40_49,_50_59,_60_69,_70_100,percent_female,percent_male,prov_join_field
0,0,12,c85485e0-dffc-4a82-84ef-dfc6fb5b4da0,2020/04/12 16:41:45.209+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/12 14:30:00+00,20,37,33,53,53,46,0,0,NL
0,0,13,0409b23c-d1ad-402d-8673-f9a793da77f3,2020/04/13 19:06:25.543+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/13 14:30:00+00,20,37,33,53,54,47,0,0,NL
0,0,14,8cbc9e13-b084-402c-8310-bc3ed229cc83,2020/04/15 16:55:50.900+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/15 14:30:00+00,20,37,33,54,56,47,0,0,NL
0,0,15,d2efbf60-aca4-4819-8032-bc9c1a67ab0d,2020/04/16 16:46:09.196+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/16 14:30:00+00,20,37,35,56,57,47,0,0,NL
0,0,16,446bb35a-d32d-4e07-8365-6c68b602cb71,2020/04/17 16:51:20.307+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/17 14:30:00+00,22,37,37,56,57,47,0,0,NL
0,0,17,7c6e486c-a335-4cb3-8bba-42699309b7b7,2020/04/18 16:35:46.945+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/18 14:30:00+00,22,37,37,56,58,47,0,0,NL
0,0,18,9994ffe9-aacd-4d3b-87cf-3e09418727b9,2020/04/22 16:46:49.556+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/22 14:30:00+00,22,37,37,56,57,47,0,0,NL
0,0,19,2d1fc71d-5100-47c8-8265-8d9cfb470830,2020/04/25 16:50:38.379+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/25 14:30:00+00,22,38,37,56,57,47,0,0,NL
0,0,20,9ce6aa9f-ea07-408d-832b-528b286897e2,2020/04/26 16:40:44.523+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/26 14:30:00+00,22,38,38,56,57,47,0,0,NL
0,0,21,b56966ff-4db1-40a8-81bd-95b29494a3f1,2020/05/01 16:34:43.009+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/05/01 14:30:00+00,22,38,39,56,57,47,0,0,NL
0,0,22,a447a753-88b7-4a7b-817c-57bb17c29adc,2020/05/07 17:22:50.606+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/05/07 14:30:00+00,22,38,39,58,57,47,0,0,NL
